1.217153280000000004e+00,2.042483700000000124e-01
1.354014599999999957e+00,5.582788699999999826e-01
1.600364960000000059e+00,7.924836600000000342e-01
2.021897810000000018e+00,1.081154680000000035e+00
2.153284670000000123e+00,1.179193900000000017e+00
2.246350360000000101e+00,1.495098040000000017e+00
2.399635040000000163e+00,1.288126359999999915e+00
2.585766420000000121e+00,1.320806099999999983e+00
2.580291970000000212e+00,1.086601310000000042e+00
2.618613139999999895e+00,9.340958600000000001e-01
2.722627740000000074e+00,6.454248399999999997e-01
2.793795620000000035e+00,3.022875800000000002e-01
2.793795620000000035e+00,-3.022875800000000002e-01
2.722627740000000074e+00,-6.454248399999999997e-01
2.618613139999999895e+00,-9.340958600000000001e-01
2.580291970000000212e+00,-1.086601310000000042e+00
2.585766420000000121e+00,-1.320806099999999983e+00
2.399635040000000163e+00,-1.288126359999999915e+00
2.246350360000000101e+00,-1.495098040000000017e+00
2.153284670000000123e+00,-1.179193900000000017e+00
2.021897810000000018e+00,-1.081154680000000035e+00
1.600364960000000059e+00,-7.924836600000000342e-01
1.354014599999999957e+00,-5.582788699999999826e-01
1.217153280000000004e+00,-2.042483700000000124e-01
